Артикул,Имя,Цена,Валюта,Картинка,Описание,Наличие,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики,Наименование_характеристики,Измерение_характеристики
HYDRAULIC 68 200L,Трансмиссионное масло EVO HYDRAULIC OIL 68 200л 0159312,17130,₴,https://content2.rozetka.com.ua/goods/images/big/246907170.jpg,"EVO Lubricants является молодой и целеустремленной компанией, которая представляет революционный подход к созданию смазочных материалов. Команда EVO Lubricants внимательно следит за тенденциями автомобильной промышленности и прилагает все усилия для создания масла, которое не только бы соответствовало существующим стандартам, но также было продумано на несколько шагов вперед, чтобы захватить изменения в завтрашнем дне. Формула EVO ORIGINAL создана на основании новой технологии Iron Defence. Молекулы Iron Defence образуют сверхпрочную защитную смазочную пленку на металлических поверхностях, что защищает двигатель от износа, улучшает его работу и гарантирует длительный срок службы. Профессионально разработанный пакет присадок противостоит образованию твердых отложений на внутренних поверхностях и защищает пары трения от изнашивания вследствие безотказно быстрого поступления масла во время критических моментов пуска, в том числе при низких температурах. Он гарантирует стабильную вязкость и необходимое смазывание во всех климатических и дорожных условиях. Применение EVO HYDRAULIC OIL 68 - это гидравлическое масло на основе минеральных масел глубокой селективной очистки с использованием сбалансированных высокого качества, многофункциональных, цинк-содержащих добавок. Как выбрать трансмиссионное масло Трансмиссионными называют масла, специально предназначенные для механических коробок передач и ведущих мостов. Их общая особенность - способность создавать прочную смазывающую пленку, выдерживающую большие нагрузки в контакте деталей. Сегодня на рынке доступно великое множество различных масел. Но как выбрать, то что нужно именно вашему автомобилю? Прежде всего следует обратиться к указаниям заводской инструкции по эксплуатации автомобиля и уже на основе этого выбирать нужный продукт. Важно помнить, что следует соблюдать все указанные спецификации и не использовать более низкие категории масел, так как это призведет к выходу агрегата из строя.   Важно знать что, для автоматических коробок не годится ни трансмиссионное, ни моторное. Эти устройства специфичны, для их работы требуется маловязкая жидкость, которую в международной практике принято называть ATF (Automatic Transmission Fluid). Что же касается обычных легковых и грузовых автомобилей с классической компоновкой, а также полноприводных и некоторых переднеприводных, то в их агрегатах используются исключительно трансмиссионные масла. Выбор по уровням эксплуатационных свойств это еще не все. Важно также определиться с вязкостью смазочного материала. Система SAE определяет текучесть масел для трансмиссий и ведущих мостов :  Зимние (70W, 75W, 80W, 85W) классы; Летние (80,85,90,110,140,250) классы;",+,Бренд,EVO,Страна производитель,Германия,,,,,,,,,,,,,,,"Емкость, л",200,Тип коробки передач,Механическая
C30195/2,Воздушный фильтр MANN C30195,,,https://content1.rozetka.com.ua/goods/images/big/15793600.jpg,,False,Бренд,Mann,
0038961,Антифриз Fortis G11 синий -37° 1кг (0038961),71,₴,"https://content1.rozetka.com.ua/goods/images/big/223407770.jpg, https://content.rozetka.com.ua/goods/images/big/223407776.jpg","Антифриз Fortis G11 синий  -37° 1кг Создан по технологии силикатного IAT с применением запатентованной системы антикоррозионной, стабилизирующей, антивспенивающие минеральной присадки, используется для охлаждения двигателей автомобилей, а также для использования в качестве рабочих жидкостей в теплообменных аппаратах и ​​системах, эксплуатируемых в диапазоне температур от минус 35 ° С до +108 ° С",-,Бренд,Fortis,,,Тип,Антифриз,,,,,,,Емкость (вес),1 л,,,Консистенция,Жидкость,Упаковка,Канистра
H710/1x,"Гидрофильтр Mann Filter H710/1n, автоматическая коробка передач",,,https://content.rozetka.com.ua/goods/images/big/183383560.jpg,,False,Бренд,MANN-FILTER,
C2941,Золоті сережки з діамантами - с2941 (151607),58320,₴,https://content1.rozetka.com.ua/goods/images/big/174040253.png,,-,,,,,,,,,,,,,,,,,,,Цвет металла,Красный,"Вес, г",5.57
WDK940/1,Топливный фильтр Mann Filter WDK940/7,1184,₴,https://content.rozetka.com.ua/goods/images/big/183536415.jpg,,-,Бренд,MANN-FILTER,
E3928LI-2,Continental WinterContact TS 850P 205/60 R16 92H AO,2842,₴,https://content2.rozetka.com.ua/goods/images/big/114505440.jpg,,-,,,Страна производитель,Португалия,,,,,,,,,,,,,,,Ширина шины,205 мм,Сезонность,Зимние,Профиль,60,Диаметр,R16,Тип авто,Легковой,Индекс нагрузки,92 (630 кг),Индекс скорости,H (210 км/ч),Год выпуска шин,2021,Шипы,Без шипов
14DF29,Моторное масло BP Visco 3000 Diesel 10w40 4л,648,₴,https://content2.rozetka.com.ua/goods/images/big/144813968.jpg,"Моторное масло BP Visco 3000 Diesel 10w40BP Visco 3000 Diesel 10W-40 - всесезонное высокоэффективное моторное масло на синтетической основе для всех четырёхтактных двигателей. Специально подобранный пакет присадок и базовые масла обеспечивают отличную защиту от изнашивания и различных отложений. Visco 3000 Diesel рекомендовано для дизельных и бензиновых двигателей с наддувом и без него легковых автомобилей и коммерческой техники.Применение:Предназначено для самых современных высоконагруженных, четырехтактных дизельных и бензиновых двигателей с наддувом и без него.Преимущества: Гарантированная защита двигателя.Высокая стабильность.Эффективные свойства детергентов и дисперсантов обеспечивают оптимальную чистоту двигателя.Предотвращение окисления и коррозии.Спецификации:API CFACEA B3VW VW 505.00МВ 229.1Совместимость:Совместимо со всеми фирменными моторными маслами, которые отвечают спецификациям изготовителя. Наиболее эффективно в чистом виде. Утилизация осуществляется так же как и для всех отработанных масел.",-,Бренд,BP,Страна производитель,Великобритания,,,,,,,,,,,,,,,Вязкость по SAE,10W-40
,Моторное масло Revline Ultra Force Mineral 15W40 4л,397,₴,"https://content1.rozetka.com.ua/goods/images/big/210057857.jpg, https://content2.rozetka.com.ua/goods/images/big/210057863.jpg","Revline Mineral 15W40 – многосезонное минеральное моторное масло. Оно предназначено для использования в легковых автомобилях и легких грузовых автомобилях с бензиновыми или дизельными двигателями (за исключением дизельных двигателей с фильтрами твёрдых частиц), с двигателями на газе LPG, в двигателях с турбонаддувом или без него, в современных двигателях и в двигателях старой конструкции, двигателях с катализатором или без него. Это масло идеально для автомобилей с большим пробегом.",+,Бренд,Revline,Страна производитель,Польша,,,,,,,,,,,,,,,Вязкость по SAE,15W-40,Тип основы масла,Минеральное,Допуски ОЕМ,"MB 229.1, VW 505.00",Тип двигателя,"Бензиновый, Газ, Дизельный, Турбированный",Категория техники,"Грузовые, Легковые",Спецификации ACEA,A3/B4,Спецификации API,"CF, SJ, SL, SL/CF"
W930/26,Масляный фильтр MANN W930/13,,,https://content1.rozetka.com.ua/goods/images/big/15793126.jpg,,False,Бренд,Mann,,,Тип,Масляные фильтры двигателя,,,,,,,,,,,,
E2989LC,Паливні фільтри E2989LI (HENGST),244,₴,https://content1.rozetka.com.ua/goods/images/big/224857102.jpg,"LA441  Kia Ceed, Hyundai I30 (ОЕ 971331H000)",+,Бренд,Hengst,
